dataset,player_name,year,year_index,years_active,hands,hands_total,vpip_pct,pfr_pct,three_bet_pct,fold_to_3bet_pct,bb_fold_pct,bb_call_pct,bb_three_bet_pct,cbet_pct,bb100,d_vpip_pct,d_pfr_pct,d_three_bet_pct,d_bb_fold_pct,d_cbet_pct,d_bb100
NL5K,Bit2Easy,2020,5,6,9649,70655,24.49,18.54,10.6,47.96,61.65,27.62,10.72,70.51,3.73,-0.8500000000000014,-1.2100000000000009,0.34999999999999964,1.3999999999999986,-2.7099999999999937,3.6
NL5K,Bit2Easy,2021,6,6,2803,70655,23.26,17.73,9.46,57.66,64.46,26.47,9.07,74.18,-22.97,-1.2299999999999969,-0.8099999999999987,-1.1399999999999988,2.809999999999995,3.6700000000000017,-26.7
NL5K,BolshoeElo,2011,1,3,3496,6305,23.31,18.34,7.81,52.03,69.25,20.29,10.46,78.79,0.1,,,,,,
NL5K,BolshoeElo,2012,2,3,1810,6305,21.44,15.86,7.35,60.87,67.4,25.27,7.33,95.51,5.69,-1.8699999999999974,-2.4800000000000004,-0.45999999999999996,-1.8499999999999943,16.72,5.590000000000001
NL5K,BolshoeElo,2013,3,3,999,6305,24.22,18.22,7.56,71.43,59.59,27.4,13.01,82.35,15.33,2.7799999999999976,2.3599999999999994,0.20999999999999996,-7.810000000000002,-13.16000000000001,9.64
NL5K,Chappolini,2011,1,4,6588,9260,26.84,21.4,11.25,59.51,68.45,18.3,13.25,71.94,-10.53,,,,,,
NL5K,Chappolini,2012,2,4,844,9260,24.88,20.73,12.43,70.0,72.27,12.61,15.13,55.07,15.33,-1.9600000000000009,-0.6699999999999982,1.1799999999999997,3.819999999999993,-16.869999999999997,25.86
NL5K,Chappolini,2013,3,4,756,9260,27.25,22.09,11.29,56.25,68.22,20.56,11.21,43.1,-30.87,2.370000000000001,1.3599999999999994,-1.1400000000000006,-4.049999999999997,-11.969999999999999,-46.2
NL5K,Chappolini,2014,4,4,1072,9260,27.05,20.8,7.84,57.5,66.67,27.67,5.66,57.89,-26.68,-0.1999999999999993,-1.2899999999999991,-3.4499999999999993,-1.5499999999999972,14.79,4.190000000000001
NL5K,CooL1992,2014,1,4,3902,27743,30.06,21.86,8.8,54.82,66.72,25.26,8.01,56.57,10.89,,,,,,
NL5K,CooL1992,2015,2,4,8184,27743,26.94,19.78,9.87,46.71,62.58,28.69,8.73,65.45,8.51,-3.1199999999999974,-2.0799999999999983,1.0699999999999985,-4.140000000000001,8.880000000000003,-2.380000000000001
NL5K,CooL1992,2016,3,4,6793,27743,25.36,18.77,9.35,40.25,63.53,30.16,6.32,71.0,6.38,-1.5800000000000018,-1.0100000000000016,-0.5199999999999996,0.9500000000000028,5.549999999999997,-2.13
NL5K,CooL1992,2017,4,4,8864,27743,26.08,19.09,10.23,43.39,58.54,34.87,6.59,67.04,-2.85,0.7199999999999989,0.3200000000000003,0.8800000000000008,-4.990000000000002,-3.9599999999999937,-9.23
NL5K,Copiaad,2012,1,3,528,1998,29.55,20.64,8.47,40.91,63.1,28.57,8.33,65.52,-37.14,,,,,,
NL5K,Copiaad,2013,2,3,855,1998,27.37,19.53,9.07,41.46,64.39,27.27,8.33,73.91,26.28,-2.1799999999999997,-1.1099999999999994,0.5999999999999996,1.2899999999999991,8.39,63.42
NL5K,Copiaad,2014,3,3,615,1998,31.71,24.88,10.8,65.38,65.31,28.57,6.12,64.71,24.05,4.34,5.349999999999998,1.7300000000000004,0.9200000000000017,-9.200000000000003,-2.2300000000000004
NL5K,DANMERRRRRRR,2015,1,3,621,4574,26.41,18.2,8.3,31.82,48.19,43.37,8.43,79.55,-33.11,,,,,,
NL5K,DANMERRRRRRR,2016,2,3,3319,4574,29.11,18.62,7.96,26.85,51.37,41.55,7.08,75.0,-15.31,2.6999999999999993,0.4200000000000017,-0.34000000000000075,3.1799999999999997,-4.549999999999997,17.799999999999997
NL5K,DANMERRRRRRR,2019,3,3,634,4574,29.81,23.66,12.5,44.0,63.64,30.68,5.68,93.75,67.76,0.6999999999999993,5.039999999999999,4.54,12.270000000000003,18.75,83.07000000000001
NL5K,DEX888,2017,1,4,1322,6090,29.12,19.29,9.18,44.44,48.44,41.67,9.9,62.61,-15.51,,,,,,
NL5K,DEX888,2019,2,4,809,6090,22.13,16.32,6.9,54.17,67.52,26.5,5.98,63.46,55.16,-6.990000000000002,-2.969999999999999,-2.2799999999999994,19.08,0.8500000000000014,70.67
NL5K,DEX888,2020,3,4,3292,6090,25.76,19.87,10.83,57.04,58.3,34.5,7.21,72.69,-22.39,3.6300000000000026,3.5500000000000007,3.9299999999999997,-9.219999999999999,9.229999999999997,-77.55
